strikePrice,expiryDate,PE.strikePrice,PE.expiryDate,PE.identifier,PE.openInterest,PE.totalTradedVolume,PE.impliedVolatility,PE.lastPrice,PE.underlyingValue,CE.strikePrice,CE.expiryDate,CE.identifier,CE.openInterest,CE.totalTradedVolume,CE.impliedVolatility,CE.lastPrice,Data_Timestamp,Timestamp
20200,16-May-2024,20200.0,16-May-2024,OPTIDXNIFTY16-05-2024PE20200.00,60957.0,4715.0,0.0,0.65,22174.15,20200,16-May-2024,OPTIDXNIFTY16-05-2024CE20200.00,0,0,0.0,0.0,14-May-2024 09:16:45,"14/05/2024, 09:18"
20250,16-May-2024,20250.0,16-May-2024,OPTIDXNIFTY16-05-2024PE20250.00,92201.0,1649.0,0.0,0.75,22174.15,20250,16-May-2024,OPTIDXNIFTY16-05-2024CE20250.00,82,0,0.0,0.0,14-May-2024 09:16:45,"14/05/2024, 09:18"
20300,16-May-2024,20300.0,16-May-2024,OPTIDXNIFTY16-05-2024PE20300.00,56944.0,2965.0,0.0,0.75,22174.15,20300,16-May-2024,OPTIDXNIFTY16-05-2024CE20300.00,78,0,0.0,0.0,14-May-2024 09:16:45,"14/05/2024, 09:18"
20350,16-May-2024,20350.0,16-May-2024,OPTIDXNIFTY16-05-2024PE20350.00,2560.0,262.0,0.0,0.75,22174.15,20350,16-May-2024,OPTIDXNIFTY16-05-2024CE20350.00,79,0,0.0,0.0,14-May-2024 09:16:45,"14/05/2024, 09:18"
20400,16-May-2024,20400.0,16-May-2024,OPTIDXNIFTY16-05-2024PE20400.00,11781.0,2399.0,0.0,0.8,22174.15,20400,16-May-2024,OPTIDXNIFTY16-05-2024CE20400.00,42,0,0.0,0.0,14-May-2024 09:16:45,"14/05/2024, 09:18"
20450,16-May-2024,20450.0,16-May-2024,OPTIDXNIFTY16-05-2024PE20450.00,3405.0,545.0,0.0,0.8,22174.15,20450,16-May-2024,OPTIDXNIFTY16-05-2024CE20450.00,55,0,0.0,0.0,14-May-2024 09:16:45,"14/05/2024, 09:18"
20500,16-May-2024,20500.0,16-May-2024,OPTIDXNIFTY16-05-2024PE20500.00,94791.0,6758.0,0.0,0.8,22174.15,20500,16-May-2024,OPTIDXNIFTY16-05-2024CE20500.00,679,0,0.0,0.0,14-May-2024 09:16:45,"14/05/2024, 09:18"
20550,16-May-2024,20550.0,16-May-2024,OPTIDXNIFTY16-05-2024PE20550.00,6714.0,1081.0,0.0,0.8,22174.15,20550,16-May-2024,OPTIDXNIFTY16-05-2024CE20550.00,145,0,0.0,0.0,14-May-2024 09:16:45,"14/05/2024, 09:18"
20600,16-May-2024,20600.0,16-May-2024,OPTIDXNIFTY16-05-2024PE20600.00,18200.0,5386.0,0.0,0.85,22174.15,20600,16-May-2024,OPTIDXNIFTY16-05-2024CE20600.00,52,0,0.0,0.0,14-May-2024 09:16:45,"14/05/2024, 09:18"
20650,16-May-2024,20650.0,16-May-2024,OPTIDXNIFTY16-05-2024PE20650.00,11680.0,2288.0,0.0,0.9,22174.15,20650,16-May-2024,OPTIDXNIFTY16-05-2024CE20650.00,59,0,0.0,0.0,14-May-2024 09:16:45,"14/05/2024, 09:18"
20700,16-May-2024,20700.0,16-May-2024,OPTIDXNIFTY16-05-2024PE20700.00,33672.0,2895.0,0.0,0.95,22174.15,20700,16-May-2024,OPTIDXNIFTY16-05-2024CE20700.00,244,0,0.0,0.0,14-May-2024 09:16:45,"14/05/2024, 09:18"
20750,16-May-2024,20750.0,16-May-2024,OPTIDXNIFTY16-05-2024PE20750.00,13487.0,689.0,0.0,1.05,22174.15,20750,16-May-2024,OPTIDXNIFTY16-05-2024CE20750.00,39,0,0.0,0.0,14-May-2024 09:16:45,"14/05/2024, 09:18"
20800,16-May-2024,20800.0,16-May-2024,OPTIDXNIFTY16-05-2024PE20800.00,56883.0,7105.0,0.0,1.1,22174.15,20800,16-May-2024,OPTIDXNIFTY16-05-2024CE20800.00,79,0,0.0,0.0,14-May-2024 09:16:45,"14/05/2024, 09:18"
20850,16-May-2024,20850.0,16-May-2024,OPTIDXNIFTY16-05-2024PE20850.00,20638.0,1079.0,0.0,1.15,22174.15,20850,16-May-2024,OPTIDXNIFTY16-05-2024CE20850.00,177,0,0.0,0.0,14-May-2024 09:16:45,"14/05/2024, 09:18"
20900,16-May-2024,20900.0,16-May-2024,OPTIDXNIFTY16-05-2024PE20900.00,64035.0,14295.0,0.0,1.35,22174.15,20900,16-May-2024,OPTIDXNIFTY16-05-2024CE20900.00,63,0,0.0,0.0,14-May-2024 09:16:45,"14/05/2024, 09:18"
